CustomerID;Title;FirstName;MiddleName;LastName;Suffix;AddressLine1;AddressLine2;City;StateProvinceName;CountryRegionName;PostalCode;PhoneNumber;BirthDate;Education;Occupation;Gender;MaritalStatus;HomeOwnerFlag;NumberCarsOwned;NumberChildrenAtHome;TotalChildren;YearlyIncome;LastUpdated;BikeBuyer;AvgMonthSpend;BikeBuyerText
21173;NULL;Chad;C;Yuan;NULL;7090 C. Mount Hood;NULL;Wollongong;New South Wales;Australia;2500;1 (11) 500 555-0115;13/11/1987;Bachelors;Clerical;M;M;1;3;0;1;81916;6/03/2017;1;50.97;YES
13249;NULL;Ryan;NULL;Perry;NULL;3651 Willow Lake Rd;NULL;Shawnee;British Columbia;Canada;V9B 2C3;787-555-0136;21/07/1972;Partial College;Clerical;M;M;1;2;1;2;81076;6/03/2017;1;53.11;YES
29350;NULL;Julia;NULL;Thompson;NULL;1774 Tice Valley Blvd.;NULL;West Covina;California;United States;91791;120-555-0111;9/11/1985;Bachelors;Clerical;F;S;0;3;0;0;86387;6/03/2017;1;54.08;YES
13503;NULL;Theodore;NULL;Gomez;NULL;2103 Baldwin Dr;NULL;Liverpool;England;United Kingdom;L4 4HB;1 (11) 500 555-0167;18/10/1977;Partial College;Skilled Manual;M;M;1;2;1;2;61481;6/03/2017;1;56.93;YES
22803;NULL;Marshall;J;Shan;NULL;Am Gallberg 234;NULL;Werne;Nordrhein-Westfalen;Germany;59368;1 (11) 500 555-0113;5/02/1975;Partial College;Skilled Manual;M;S;1;1;0;0;51804;6/03/2017;1;55.41;YES
22092;NULL;Andrea;NULL;Young;NULL;9384 Ashmount Way;NULL;Tacoma;Washington;United States;98403;639-555-0165;23/02/1975;High School;Skilled Manual;F;M;1;2;2;2;61944;6/03/2017;1;49.31;YES
11229;NULL;Adrian;C;Stewart;NULL;6898 Shaw Rd.;NULL;Redwood City;California;United States;94063;812-555-0122;3/12/1971;Partial College;Manual;M;S;1;1;0;0;34919;6/03/2017;0;56.01;NO
24179;NULL;Robyn;R;Blanco;NULL;6270 Pinecreek Way;NULL;Lavender Bay;New South Wales;Australia;2060;1 (11) 500 555-0113;7/03/1997;Partial College;Skilled Manual;F;M;0;1;0;0;61832;6/03/2017;1;49.29;YES
12127;NULL;Grace;NULL;Davis;NULL;8188, rue Lamarck;NULL;Dunkerque;Nord;France;59140;1 (11) 500 555-0178;14/12/1976;Partial College;Clerical;F;M;1;0;0;2;83834;6/03/2017;1;50.05;YES
19903;NULL;Marcus;N;Nelson;NULL;5, rue des Bouchers;NULL;Metz;Moselle;France;57000;1 (11) 500 555-0181;4/12/1976;High School;Manual;M;S;0;1;0;0;26880;6/03/2017;0;54.15;NO
25924;NULL;Hannah;NULL;Robinson;NULL;536 Beech Ct.;NULL;Redwood City;California;United States;94063;609-555-0161;20/11/1998;Partial College;Clerical;F;S;0;1;0;0;77258;6/03/2017;0;54.02;NO
23033;NULL;Alex;J;Turner;NULL;9973 Mcnutt Ave;NULL;Lakewood;California;United States;90712;668-555-0160;21/04/1981;Bachelors;Management;M;M;1;3;0;0;102698;6/03/2017;0;58.29;NO
20029;NULL;Jan;M;Evans;NULL;7787 Olive St.;NULL;Los Angeles;California;United States;90012;163-555-0164;24/10/1984;Bachelors;Management;F;M;1;1;1;2;108198;6/03/2017;1;52.66;YES
22031;NULL;Jorge;NULL;Cai;NULL;7952 Quartermaster;NULL;Wollongong;New South Wales;Australia;2500;1 (11) 500 555-0191;12/08/1960;Bachelors;Professional;M;M;1;2;0;2;133762;6/03/2017;0;52.5;NO
23770;NULL;Jamie;NULL;Carlson;NULL;8191 Scenic Ct.;NULL;Maidenhead;England;United Kingdom;SL67RJ;1 (11) 500 555-0165;12/05/1991;Partial High School;Manual;M;S;0;1;0;0;30526;7/03/2017;0;49.61;NO
23737;NULL;Elena;NULL;Velez Amezaga;NULL;9613 Camino Royale;NULL;Beverly Hills;California;United States;90210;545-555-0171;14/03/1971;Partial College;Skilled Manual;F;M;1;2;0;2;56353;6/03/2017;1;49.04;YES
17127;NULL;Makayla;A;Gray;NULL;9442 Lacanda;NULL;Puyallup;Washington;United States;98371;133-555-0124;2/06/1965;High School;Clerical;F;S;1;3;1;1;79019;6/03/2017;1;50.48;YES
28130;NULL;Joshua;M;Taylor;NULL;1145 Paraiso Ct.;NULL;Langley;British Columbia;Canada;V3A 4R2;926-555-0140;2/02/1993;Partial College;Skilled Manual;M;S;0;2;0;0;55387;6/03/2017;1;51;YES
28455;NULL;Raymond;E;Sara;NULL;Zollstr 68;Verkaufsabteilung;Darmstadt;Hessen;Germany;64283;1 (11) 500 555-0165;6/06/1981;Bachelors;Management;M;M;1;2;0;2;113276;6/03/2017;0;58.69;NO
20161;NULL;Albert;G;Sanz;NULL;87, rue de la Comédie;NULL;Orly;Val de Marne;France;94310;1 (11) 500 555-0118;20/06/1963;Partial College;Management;M;S;1;1;0;1;109259;6/03/2017;0;52.3;NO
21325;NULL;Angela;NULL;Hayes;NULL;8273 Glacier Drive;NULL;El Cajon;California;United States;92020;848-555-0112;10/07/1980;High School;Clerical;F;M;1;0;0;2;83845;6/03/2017;0;50.38;NO
12128;NULL;Kristy;E;Munoz;NULL;Altendorfer Straße 903;NULL;Berlin;Hessen;Germany;12171;1 (11) 500 555-0146;16/12/1976;High School;Skilled Manual;F;M;1;0;2;2;59527;6/03/2017;1;53.22;YES
23679;NULL;Jacob;G;Harris;NULL;7987 Seawind Dr.;NULL;Oak Bay;British Columbia;Canada;V8P;518-555-0167;5/11/1961;Bachelors;Management;M;S;1;1;0;1;108360;6/03/2017;0;51.88;NO
26799;NULL;Ryan;G;Russell;NULL;1104 O St.;NULL;Coronado;California;United States;92118;696-555-0187;19/09/1996;Partial College;Clerical;M;M;0;1;0;0;87504;6/03/2017;0;49.72;NO
15726;NULL;Faith;F;Barnes;NULL;6176 Crow Street;NULL;Hervey Bay;Queensland;Australia;4655;1 (11) 500 555-0195;27/02/1993;Bachelors;Skilled Manual;F;M;0;0;0;0;55461;6/03/2017;1;48.76;YES
15473;NULL;Abigail;NULL;Jenkins;NULL;4838 Second Street;NULL;Coronado;California;United States;92118;135-555-0132;15/04/1989;Bachelors;Professional;F;S;1;2;0;0;137464;6/03/2017;1;52.03;YES
28685;NULL;Marshall;J;Zhu;NULL;24, boulevard Tremblay;NULL;Drancy;Seine Saint Denis;France;93700;1 (11) 500 555-0189;16/03/1990;High School;Clerical;M;M;1;2;0;1;87676;6/03/2017;1;49.89;YES
12302;NULL;Kevin;NULL;Coleman;NULL;Reiherweg 5;NULL;Frankfurt;Hessen;Germany;60323;1 (11) 500 555-0167;2/03/1966;Bachelors;Management;M;M;1;3;0;2;104187;6/03/2017;1;51.15;YES
23523;NULL;Steve;V;Liu;NULL;8358 Azalea Avenue;NULL;Findon;South Australia;Australia;5023;1 (11) 500 555-0135;19/08/1983;Bachelors;Clerical;M;S;0;1;0;0;78222;6/03/2017;1;53.53;YES
18713;NULL;Rosa;NULL;Yang;NULL;5673 Arlington Circle;NULL;Newcastle;New South Wales;Australia;2300;1 (11) 500 555-0178;15/11/1986;Graduate Degree;Clerical;F;M;1;2;0;1;77383;6/03/2017;0;50.59;NO
24082;NULL;Regina;A;Rodriguez;NULL;56, avenue de l´Europe;NULL;Morangis;Essonne;France;91420;1 (11) 500 555-0119;13/12/1984;High School;Skilled Manual;F;M;1;1;2;2;60700;6/03/2017;1;49.29;YES
27886;NULL;Denise;P;Gonzalez;NULL;80, avenue de Malakoff;NULL;Pantin;Seine Saint Denis;France;93500;1 (11) 500 555-0116;24/09/1980;High School;Manual;F;S;0;0;0;0;30913;6/03/2017;0;49;NO
21711;NULL;Hailey;J;Gray;NULL;44 Garcia;NULL;West Covina;California;United States;91791;643-555-0126;11/11/1978;Partial College;Clerical;F;S;1;2;0;0;86952;6/03/2017;1;54.71;YES
22366;NULL;Logan;C;Henderson;NULL;1695 Valley High Dr;NULL;Sooke;British Columbia;Canada;V0;154-555-0134;16/07/1978;Graduate Degree;Skilled Manual;M;M;1;2;1;2;58567;6/03/2017;1;55.64;YES
15010;NULL;Cory;J;Suri;NULL;9342 Temple Drive;NULL;Berkeley;California;United States;94704;109-555-0114;12/09/1997;Partial College;Clerical;M;M;0;0;0;0;77478;6/03/2017;0;50.55;NO
22296;NULL;Benjamin;M;Johnson;NULL;4137 Garcia Ranch Road;NULL;Lemon Grove;California;United States;91945;913-555-0137;23/03/1988;Bachelors;Clerical;M;M;1;2;0;1;78406;6/03/2017;0;50.16;NO
23237;NULL;Caleb;C;Young;NULL;Helsenbergbogen 2;NULL;Kassel;Hessen;Germany;34117;1 (11) 500 555-0192;27/12/1990;Partial College;Clerical;M;S;0;1;0;0;85318;6/03/2017;0;51.02;NO
13832;NULL;Priscilla;R;Raji;NULL;51, rue Henri Gagnon;NULL;Courbevoie;Hauts de Seine;France;92400;1 (11) 500 555-0125;27/04/1996;High School;Skilled Manual;F;S;0;0;0;0;52928;6/03/2017;1;52.17;YES
26026;NULL;Cindy;E;Srini;NULL;9099 Warmcastle Ct.;NULL;Townsville;Queensland;Australia;4810;1 (11) 500 555-0153;14/05/1987;Bachelors;Clerical;F;S;0;2;0;0;79224;6/03/2017;1;52.31;YES
17813;NULL;Jay;K;Nicholls;NULL;2080 Mountain View Dr.;NULL;Woolston;England;United Kingdom;WA1 4SY;1 (11) 500 555-0187;3/07/1983;Partial College;Manual;M;M;0;0;0;1;33076;6/03/2017;1;53.13;YES
26369;NULL;Kate;J;Nath;NULL;1101, rue Lauriston;NULL;Sèvres;Hauts de Seine;France;92310;1 (11) 500 555-0171;24/09/1985;High School;Skilled Manual;F;M;1;1;0;2;56641;6/03/2017;0;48.89;NO
18824;NULL;Elijah;L;Collins;NULL;2535 Park Lane;NULL;La Jolla;California;United States;92806;620-555-0143;24/08/1982;High School;Manual;M;M;1;0;0;1;27203;6/03/2017;0;52.46;NO
21064;NULL;Colleen;C;Sun;NULL;8188, place du Tertre;NULL;Saint Ouen;Somme;France;80610;1 (11) 500 555-0116;20/11/1986;High School;Clerical;F;S;0;3;0;0;77098;6/03/2017;0;50.21;NO
28532;NULL;Tony;R;Xie;NULL;4757, rue Saint-Lazare;NULL;Paris;Seine (Paris);France;75008;1 (11) 500 555-0112;6/12/1988;Bachelors;Management;M;M;1;3;2;2;103200;6/03/2017;1;53.97;YES
16183;NULL;Tanya;NULL;Carlson;NULL;9435 Vine Hill Way;NULL;St. Leonards;New South Wales;Australia;2065;1 (11) 500 555-0136;4/11/1984;Bachelors;Skilled Manual;F;S;0;2;0;0;53784;6/03/2017;0;50.85;NO
25700;NULL;Faith;B;Coleman;NULL;2181, rue Malar;NULL;Saint-Denis;Seine Saint Denis;France;93400;1 (11) 500 555-0165;18/08/1974;Partial College;Manual;F;S;0;1;0;0;25826;6/03/2017;0;47.53;NO
21746;NULL;Xavier;NULL;Hernandez;NULL;144 Santa Monica;NULL;Lakewood;California;United States;90712;404-555-0118;16/03/1982;High School;Manual;M;M;1;0;1;1;30925;6/03/2017;1;50.48;YES
26560;NULL;Lindsey;NULL;Shen;NULL;589 Woodcrest Drive;NULL;Newcastle;New South Wales;Australia;2300;1 (11) 500 555-0163;4/06/1971;Partial High School;Manual;F;M;1;1;1;2;30288;6/03/2017;0;50.57;NO
16988;NULL;Brian;R;Bailey;NULL;9013 Ramsay Circle;NULL;Oakland;California;United States;94611;621-555-0190;19/04/1985;Bachelors;Manual;M;S;0;0;0;0;34685;6/03/2017;1;48.1;YES
18562;NULL;Mary;P;Wright;NULL;5745 St. Paul Way;NULL;Novato;California;United States;94947;160-555-0188;16/06/1989;Graduate Degree;Skilled Manual;F;M;0;1;1;1;58213;6/03/2017;1;51.99;YES
14996;NULL;Ross;R;Gill;NULL;Unter Linden 934;NULL;Berlin;Hamburg;Germany;10210;1 (11) 500 555-0114;14/10/1995;Partial College;Management;M;S;0;0;0;0;108342;6/03/2017;1;51.43;YES
26741;NULL;Nichole;J;Pal;NULL;2765 Robbins Place;NULL;Lane Cove;New South Wales;Australia;1597;1 (11) 500 555-0197;18/08/1987;Bachelors;Professional;F;M;1;2;1;1;130385;6/03/2017;1;55.52;YES
19490;NULL;Kristina;D;Smith;NULL;11, rue de Cambrai;NULL;Paris;Seine (Paris);France;75019;1 (11) 500 555-0167;16/11/1984;Partial College;Skilled Manual;F;S;0;2;0;0;58227;6/03/2017;1;50.76;YES
12720;NULL;Nicolas;J;Chande;NULL;44, rue du Départ;NULL;Suresnes;Hauts de Seine;France;92150;1 (11) 500 555-0115;2/11/1994;Partial College;Skilled Manual;M;S;0;1;0;0;52156;6/03/2017;1;47.68;YES
14050;NULL;Manuel;M;Lopez;NULL;2396 Ancona Ct.;NULL;Cloverdale;South Australia;Australia;6105;1 (11) 500 555-0146;16/05/1986;Graduate Degree;Professional;M;S;1;2;0;0;131458;6/03/2017;1;57.1;YES
11926;NULL;Eduardo;NULL;Foster;NULL;609 Power Ave.;NULL;Oregon City;Oregon;United States;97045;522-555-0169;18/03/1998;Partial College;Manual;M;S;0;1;0;0;33510;6/03/2017;0;46.25;NO
28023;NULL;Andrea;D;James;NULL;4645 Rossmor Parkway;NULL;Corvallis;Oregon;United States;97330;514-555-0198;15/09/1966;High School;Skilled Manual;F;S;1;1;0;1;56785;6/03/2017;0;51.34;NO
22541;NULL;Stefanie;NULL;Martinez;NULL;Im Himmelsweg 27;NULL;Paderborn;Hamburg;Germany;33041;1 (11) 500 555-0120;26/12/1993;Partial College;Skilled Manual;F;S;0;1;0;0;58201;6/03/2017;0;51.29;NO
23192;NULL;Emily;E;Garcia;NULL;8180 Loveridge Circle;NULL;Palo Alto;California;United States;94303;300-555-0120;8/04/1985;Bachelors;Clerical;F;M;1;2;0;1;82359;7/03/2017;1;49.64;YES
